OverallQual,GrLivArea,GarageCars,LotArea,OverallCond,BedroomAbvGr,KitchenAbvGr,SalePrice
7,1626,2,2268,5,2,1,173000
6,918,1,7892,5,2,1,99500
7,1428,2,11639,5,3,1,182000
7,2019,2,11414,8,3,1,167500
7,1382,2,2651,5,3,1,165000
4,869,0,5900,7,2,1,85500
7,1241,2,4274,5,1,1,199900
4,894,2,9450,5,3,1,110000
5,1121,2,8816,6,3,1,139000
7,999,2,12122,9,3,1,178400
8,2612,3,12203,5,4,1,336000
7,1266,2,3182,5,2,1,159895
8,2290,2,11250,5,4,1,255900
5,1734,2,10125,5,4,2,126000
5,1164,1,10880,5,3,1,125000
6,1635,1,5310,8,2,1,117000
9,1940,3,10159,5,3,1,395192
6,2030,2,12046,6,4,1,195000
7,1576,2,8125,5,3,1,197000
8,2392,3,9452,5,3,1,348000
8,1742,2,17671,9,4,1,168000
6,1851,2,9760,8,3,1,187000
6,1500,2,8846,5,3,1,173900
10,1718,3,12456,5,3,1,337500
4,1230,1,4712,7,3,1,121600
5,1050,1,10659,6,3,1,136500
6,1442,2,11717,6,2,1,185000
3,1077,1,9786,4,3,1,91000
7,1208,2,6762,5,2,1,206000
3,944,2,10206,3,2,1,82000
5,691,1,5400,6,2,1,86000
8,1574,3,11957,5,3,1,232000
5,1680,2,11500,6,4,2,136905
7,1504,2,3182,5,1,1,181000
5,985,1,8385,8,3,1,149900
6,1657,2,12155,3,3,1,163500
4,1092,1,2217,4,3,1,88000
7,1710,2,12118,5,3,1,240000
5,1522,0,6000,5,4,1,102000
5,1271,1,21286,5,4,1,135000
5,1664,0,9825,5,4,2,100000
6,1502,1,10592,7,3,1,165000
5,1022,1,7200,4,2,1,85000
6,1082,1,11664,5,2,1,119200
8,1665,2,8400,6,3,1,227000
7,1504,2,11883,5,3,1,203000
8,1360,2,5814,5,1,1,187500
7,1472,2,10784,5,3,1,160000
7,1506,2,3013,5,2,1,213490
4,1132,2,7024,5,2,1,176000
7,1220,2,7406,5,2,1,194000
5,1248,1,9439,5,2,1,87000
7,1504,2,3182,5,2,1,191000
8,2898,2,15498,6,2,1,287000
5,882,2,7700,5,3,1,112500
5,1264,2,9300,5,3,1,167500
8,1646,3,9520,5,3,1,293077
5,1376,1,9492,5,3,1,105000
6,1218,1,1680,7,3,1,118000
5,1928,0,7082,8,5,2,160000
7,3082,2,15863,3,5,1,197000
8,2520,3,14541,7,5,1,310000
7,1654,3,8125,5,3,1,230000
5,954,1,6305,7,2,1,119750
4,845,1,11500,3,3,1,84000
9,1620,3,12898,5,2,1,315500
8,2263,2,9240,5,3,1,287000
4,1344,0,1533,6,3,1,97000
4,630,1,1477,4,1,1,80000
5,1803,2,13125,4,3,1,155000
6,1632,2,9130,8,4,1,173000
6,1306,2,5381,5,1,1,196000
7,2329,2,11839,5,4,1,262280
8,2524,2,9600,5,4,1,278000
3,1733,2,13680,5,4,1,139600
9,2868,3,16056,5,4,1,556581
5,990,2,9245,5,3,1,145000
5,1771,2,21750,4,3,1,115000
4,930,1,11100,7,2,1,84900
7,1302,2,8993,5,3,1,176485
7,1316,2,11175,5,3,1,200141
6,1977,2,9500,6,4,1,165000
5,1526,1,8562,6,4,1,144500
8,1989,2,11367,5,3,1,255000
6,1523,2,11361,5,3,1,180000
7,1364,2,7052,5,2,1,185850
7,1850,2,29959,6,3,1,248000
9,2184,3,11308,5,3,1,335000
6,1991,2,11275,7,3,1,220000
8,1338,2,4920,5,2,1,213500
3,894,3,18000,4,2,1,81000
5,2337,2,13600,5,5,2,90000
6,1103,2,6000,6,2,1,110500
5,1154,2,11000,6,3,1,154000
7,2260,2,14000,5,3,1,328000
6,1571,2,7837,7,3,1,178000
6,1611,2,9760,6,4,1,167900
6,2521,2,3964,4,5,1,151400
5,893,2,9600,7,2,1,135000
5,1048,1,10152,5,3,1,135000
6,1556,2,11700,6,4,1,154000
5,1456,1,7585,3,4,1,91500
6,1426,2,7950,6,3,1,159500
7,1240,3,8556,5,2,1,194000
7,1740,1,13125,6,3,1,219500
5,1466,2,10800,8,3,1,170000
5,1096,1,15870,5,3,1,138800
6,848,2,4435,5,1,1,155900
5,990,1,8775,5,3,1,126000
6,1258,2,11040,7,3,1,145000
5,1040,1,7500,5,3,1,133000
7,1459,2,8749,5,3,1,192000
6,1251,1,8800,6,3,1,160000
6,1498,2,13031,5,3,1,187500
6,996,2,9069,6,2,1,147000
4,1092,1,1974,5,3,1,83500
8,1953,3,10574,5,3,1,252000
7,1709,2,2522,5,3,1,137500
8,1247,2,3316,5,1,1,197000
3,1040,2,8544,4,2,2,92900
7,1252,2,2160,5,2,1,160000
6,1694,2,8400,5,4,1,136500
5,1200,2,9230,8,1,1,146000
5,936,1,5868,7,2,1,129000
6,1314,2,9317,5,3,1,176432
6,1355,0,6882,7,3,1,127000
8,1088,2,3696,5,2,1,170000
4,1324,1,6000,6,3,1,128000
7,1601,2,11880,5,3,1,157000
2,438,1,8400,5,1,1,60000
5,950,1,9758,5,3,1,119500
5,1134,1,7000,7,2,1,135000
6,1194,2,8910,6,3,1,159500
5,1302,2,2016,5,3,1,106000
8,2622,2,12256,5,3,1,325000
7,1442,2,10357,5,3,1,179900
7,2021,2,23257,5,3,1,274725
6,1690,2,8063,5,3,1,181000
8,1836,3,11362,5,3,1,280000
6,1658,2,8000,5,3,1,188000
7,1964,2,10480,6,4,1,205000
5,816,1,7100,7,2,1,129900
5,1008,1,8923,7,2,1,134500
5,833,1,5400,7,2,1,117000
8,1734,3,12085,5,3,1,318000
8,1419,2,7750,5,3,1,184100
5,894,2,9764,7,3,1,130000
5,1601,1,13825,6,3,1,140000
5,1040,1,7560,5,3,1,133700
6,1012,1,8263,5,2,1,118400
7,1552,3,10084,5,3,1,212900
4,960,1,8926,3,3,1,112000
5,698,0,9405,9,2,1,118000
7,1482,2,9125,5,3,1,163900
4,1005,2,10434,5,2,1,115000
7,1555,3,3684,5,2,1,174000
7,1530,3,14572,5,3,1,259000
7,1959,2,11796,5,4,1,215000
5,936,2,7200,5,2,1,140000
4,1981,2,7804,3,4,1,135000
5,974,0,10712,5,3,1,93500
6,2210,1,9900,4,5,1,117500
8,2020,2,9828,5,3,1,239500
6,1600,2,8773,5,3,1,169000
6,986,1,6180,5,2,1,102000
6,1252,1,9600,5,3,1,119000
5,1020,0,6342,8,2,1,94000
6,1567,2,9819,5,2,1,196000
5,1167,2,8731,5,3,1,144000
5,952,2,7350,7,2,1,139000
5,1868,2,10304,7,4,1,197500
8,2828,3,9965,5,4,1,424870
5,1006,0,9000,3,3,1,80000
4,924,1,12180,4,2,1,80000
5,1576,1,6240,6,3,1,149000
6,1298,2,11200,5,3,1,180000
7,1564,1,12000,7,3,1,174500
7,1111,1,5700,7,2,1,116900
7,1482,2,9000,9,3,1,143000
6,932,1,8280,5,2,1,124000
5,1466,2,17755,4,3,1,149900
6,1811,2,14115,7,2,1,230000
6,816,1,5890,8,2,1,120500
7,1820,2,13700,6,4,1,201800
5,1437,2,10768,8,3,1,218000
5,1265,2,9350,8,3,1,179900
7,1314,2,5001,5,2,1,230000
8,1580,3,11932,5,3,1,235128
6,1876,2,9120,6,4,1,185000
6,1456,2,2280,5,3,1,146000
6,1640,2,14778,7,3,1,224000
5,894,2,8724,5,3,1,129000
4,1258,2,12900,4,0,2,108959
5,1432,2,16157,7,2,1,194000
7,1502,2,9541,5,3,1,233170
8,1694,3,10475,5,3,1,245350
6,1671,2,10852,5,3,1,173000
6,2108,2,13728,7,4,1,235000
10,3627,3,35760,5,4,1,625000
6,1118,1,9880,6,3,1,171000
6,1261,2,9120,6,3,1,163000
7,1250,2,4017,5,2,1,171900
5,3086,0,18030,6,3,1,200500
6,2345,2,16560,8,4,1,239000
8,2872,2,10678,5,4,1,285000
5,923,1,6951,5,3,1,119500
6,1224,1,3950,8,3,1,115000
5,1343,1,7681,6,3,1,154900
5,1124,0,8335,5,3,1,93000
7,2514,2,11170,5,4,1,250000
8,1652,2,5587,5,2,1,392500
10,4476,3,15623,5,4,1,745000
5,1130,2,10800,6,2,1,120000
5,1572,3,35133,4,3,1,186700
5,1221,1,9738,7,4,1,104900
3,1699,2,10615,5,3,2,95000
8,1624,3,12461,5,2,1,262000
7,1660,2,8935,5,3,1,195000
7,1804,2,7500,5,3,1,189000
4,1622,4,32463,4,3,1,168000
8,1441,2,2645,5,2,1,174000
5,1472,1,9600,8,3,1,125000
6,1224,2,4500,5,2,1,165000
6,1352,1,9364,7,4,1,158000
6,1456,2,8029,5,3,1,176000
7,1863,3,14054,5,4,1,219210
7,1690,1,8850,6,3,1,144000
7,1212,2,9100,5,3,1,178000
4,1382,2,11235,5,3,1,148000
4,864,1,9353,5,3,1,116050
7,1779,2,10400,5,3,1,197900
5,1348,1,6000,8,3,1,117000
7,1630,2,9750,5,3,1,213000
5,1074,2,10140,6,3,1,153500
7,2196,3,14684,7,3,1,271900
4,1056,1,8900,4,2,1,107000
6,1700,2,9135,5,3,1,200000
5,1283,2,7763,7,3,1,140000
8,1660,2,10182,5,3,1,290000
6,1845,2,11218,5,3,1,189000
8,1752,2,12134,7,4,1,164000
4,672,1,9340,6,2,1,113000
4,960,1,10246,9,0,1,145000
5,999,1,10205,5,3,1,134500
5,894,1,7094,5,3,1,125000
6,1902,2,8930,5,4,2,112000
8,1314,2,8640,5,3,1,229456
4,912,0,6240,5,2,1,80500
6,1218,0,1680,5,3,1,91500
5,912,1,7800,5,2,1,115000
5,1211,1,8250,5,3,1,134000
6,1846,1,10496,6,3,1,143000
5,2136,2,10680,3,4,1,137900
7,1490,2,15384,5,3,1,184000
6,1138,1,10482,8,3,1,145000
6,1933,3,14598,5,4,1,214000
5,912,2,8872,8,2,1,147000
9,1702,3,8769,5,1,1,367294
5,1507,1,7910,5,4,1,127000
5,2620,2,18890,5,4,2,190000
5,1190,2,7728,6,3,1,132500
4,1224,2,9842,5,2,2,101800
5,1188,2,12160,5,3,1,142000
5,1964,0,8525,6,4,1,130000
5,1784,1,13132,5,4,1,138887
7,1626,2,2628,5,2,1,175500
7,1948,2,12393,5,4,1,195000
6,1141,2,13072,5,3,1,142500
8,1484,2,9037,5,2,1,265900
7,1768,2,8158,5,3,1,224900
7,1689,3,9849,6,3,1,248328
7,1173,2,10625,6,3,1,170000
10,2076,3,13891,5,2,1,465000
8,1517,2,11435,7,3,1,230000
6,1868,2,12090,7,3,1,178000
7,1553,2,8125,5,3,1,186500
6,1034,3,12328,5,3,1,169900
6,2058,2,9600,5,3,1,129500
5,988,1,7200,7,3,1,119000
7,2110,2,11160,5,3,1,244000
7,1405,2,3136,5,2,1,171750
5,874,1,9858,6,3,1,130000
7,2167,2,17542,7,3,1,294000
7,1656,2,6931,5,3,1,165400
6,1367,1,6240,6,3,1,127500
8,1987,2,14303,5,2,1,301500
5,864,0,4060,8,2,1,99900
7,1166,2,9587,5,2,1,190000
6,1054,2,9750,8,3,1,151000
6,1675,2,24682,5,3,1,181000
5,1050,1,9600,6,2,1,128900
4,1788,1,11250,5,5,1,161500
6,1824,2,13515,6,3,1,180500
6,1337,2,4060,5,2,1,181000
7,1452,2,3735,5,3,1,183900
7,1889,1,10120,4,4,2,122000
9,2018,3,13214,5,3,1,378500
8,3447,3,14100,9,4,1,381000
5,1524,1,11344,5,3,1,144000
7,1524,2,23595,6,0,1,260000
6,1489,2,9156,7,3,1,185750
5,935,1,13526,6,3,1,137000
6,1357,1,11512,7,2,1,177000
5,1250,2,5362,6,3,1,139000
5,1920,2,11345,5,4,2,137000
6,1395,2,12936,6,3,1,162000
6,1724,2,17871,5,3,1,197900
8,2031,2,9473,5,3,1,237000
4,1128,2,7500,4,2,1,68400
7,1573,2,9808,5,3,1,227000
7,1339,2,8049,5,2,1,180000
5,1040,2,8800,7,3,1,150500
6,1824,0,9400,5,4,2,139000
6,2447,1,9638,7,4,1,169000
6,1412,1,6000,6,4,1,132500
6,1328,2,9790,5,3,1,143000
5,1582,2,36500,5,4,1,190000
8,1659,2,5664,5,2,1,278000
8,1970,3,11065,5,3,1,281000
5,1152,2,14112,7,3,1,180500
5,1302,1,1680,7,3,1,119500
5,2372,1,6600,4,4,2,107500
7,1664,2,10140,5,4,1,162900
5,864,2,8172,7,2,1,115000
5,1052,1,8400,5,3,1,138500
5,1128,2,8700,6,3,1,155000
6,1072,2,3675,5,2,1,140000
10,5642,2,63887,5,3,1,160000
5,1246,1,7500,7,3,1,154000
7,1983,2,10762,5,3,1,225000
6,1494,1,7500,7,3,1,177500
8,2526,3,10120,5,4,1,290000
7,1616,3,8688,5,3,1,232000
7,1708,2,3363,5,3,1,130000
9,1652,2,13173,5,2,1,325000
7,1368,2,6955,5,2,1,202500
5,990,2,8072,5,3,1,138000
5,1122,2,12000,7,2,1,147000
6,1294,2,7153,5,3,1,179200
7,1902,2,17500,8,3,1,335000
7,1274,2,8814,5,3,1,203000
8,2810,2,9572,5,4,1,302000
9,2599,3,14774,5,4,1,333168
4,948,1,8190,6,3,1,119000
6,2112,2,11075,5,4,1,206900
8,1630,3,10226,5,3,1,295493
7,1352,2,4230,5,2,1,208900
8,1787,3,14781,5,3,1,275000
4,948,1,10215,5,3,1,111000
6,1478,2,8400,3,3,1,156500
3,720,1,6627,6,2,1,72500
7,1923,2,10186,5,3,1,190000
4,708,0,5330,7,2,1,82500
8,1795,3,9986,5,2,1,147000
4,796,0,3636,4,2,1,55000
3,774,0,4270,6,3,1,79000
5,816,1,6600,9,3,1,130500
6,2792,2,10440,7,5,1,256000
7,1632,2,9084,5,3,1,176500
8,1588,3,10000,5,3,1,227000
5,954,2,10780,5,3,1,132500
4,816,1,8877,6,2,1,100000
5,1360,1,7200,6,2,1,125500
5,1365,2,2368,6,3,1,125000
6,1334,2,9650,5,2,1,167900
5,1656,2,9246,5,4,2,135000
4,693,0,4118,4,2,1,52500
7,1861,2,13450,5,3,1,200000
5,864,1,9560,7,3,1,128500
4,872,4,8294,5,3,1,123000
6,1114,2,13695,5,3,1,155000
8,2169,2,9375,5,3,1,228500
6,1913,2,7558,6,3,1,177000
7,1456,2,11103,5,3,1,155835
4,960,1,6000,4,2,1,108500
7,2156,2,20781,7,3,1,262500
8,1776,3,15306,5,3,1,283463
7,1494,2,16196,5,3,1,215000
8,2358,0,5250,5,4,1,122000
5,2634,4,11643,5,6,2,200000
6,1716,2,9247,6,4,1,171000
6,1176,2,6000,9,2,1,134900
8,3238,3,14720,5,4,1,410000
7,1865,3,10316,5,3,1,235000
7,1920,2,10192,6,4,1,170000
5,892,1,9477,5,3,1,110000
5,1078,2,12537,6,3,1,149900
6,1573,2,2117,5,3,1,177500
9,1980,3,16737,5,3,1,315000
5,2601,2,9842,6,4,1,189000
7,1530,2,16158,5,3,1,260000
4,1738,1,12513,4,4,1,104900
6,1412,2,8499,5,3,1,156932
7,1200,2,3180,5,2,1,144152
7,1674,2,7500,5,3,1,216000
7,1790,2,9179,5,3,1,193000
5,1475,1,2665,6,4,1,127000
6,848,2,4435,5,1,1,144000
8,1668,2,10635,5,3,1,232000
4,1374,1,5400,6,2,1,105000
6,1661,1,9600,6,3,1,165500
7,2097,2,9750,6,3,1,274300
10,2633,3,11400,5,2,1,466500
7,1958,3,10625,5,3,1,250000
8,1571,3,10991,5,3,1,239000
6,790,1,6292,5,2,1,91000
5,1604,2,10998,5,3,1,117000
6,987,1,1953,5,2,1,83000
5,1394,2,9735,5,3,1,167500
3,864,1,8212,3,2,1,58500
6,2117,2,12925,7,4,1,237500
7,1762,2,7200,7,4,1,157000
5,1416,2,25339,7,3,1,112000
6,1258,1,9060,5,2,1,105000
4,1154,1,5436,8,3,1,125500
7,2784,2,16692,5,5,1,250000
6,2526,1,8520,7,5,1,136000
9,1746,3,14892,5,3,1,377500
6,1218,2,6000,6,3,1,131000
7,1525,2,9100,5,3,1,235000
5,1584,3,8944,5,4,2,124000
5,900,1,7838,5,3,1,123000
6,1912,2,10800,7,3,2,163000
7,1500,3,4045,5,2,1,246578
8,2482,3,12665,5,4,1,281213
5,1687,2,57200,5,3,1,160000
5,1513,1,6120,8,4,1,137500
5,1904,1,7200,4,3,1,138000
6,1608,1,6171,6,3,1,137450
6,1158,1,6000,7,3,1,120000
6,1593,2,7415,5,3,1,193000
7,1294,2,6762,5,2,1,193879
8,1464,3,15256,5,3,1,282922
3,1214,3,10410,4,3,1,105000
8,1646,2,3842,5,2,1,275000
5,768,2,8445,7,2,1,133000
5,833,0,8780,5,3,1,112000
4,1363,2,7740,7,3,1,125500
7,2093,2,20544,6,3,1,215000
7,1840,2,12420,5,3,1,230000
6,1668,1,9600,8,3,1,140000
4,1040,2,7200,5,2,2,90000
8,1844,2,10994,5,2,1,257000
6,1848,2,13053,7,4,1,207000
7,1569,3,3635,5,1,1,175900
4,2290,2,11340,6,4,2,122500
8,2450,3,16545,5,3,1,340000
5,1144,1,9204,5,3,1,124000
6,1844,2,16381,5,3,1,223000
6,1416,2,11700,6,3,1,179900
6,1069,2,4043,5,2,1,127500
6,848,2,4435,5,1,1,136500
6,2201,2,19690,7,4,1,274970
5,1344,1,9503,5,2,1,144000
6,1252,2,10721,6,3,1,142000
7,2127,2,10944,5,3,1,271000
5,1558,1,10930,6,3,1,140000
5,804,1,7200,7,2,1,119000
6,1440,2,12546,7,3,1,182900
5,1838,2,21930,5,4,1,192140
6,958,2,4928,6,2,1,143750
4,968,1,10800,6,4,1,64500
6,1792,2,10261,5,3,1,186500
5,1126,2,17400,5,3,1,160000
6,1537,2,8400,9,3,1,174000
4,864,2,9000,6,3,1,120500
8,1932,3,12444,5,2,1,394617
6,1236,2,7407,7,2,1,149700
7,1725,2,11584,6,3,1,197000
6,2555,2,11526,7,3,1,191000
6,848,2,4426,5,1,1,149300
10,2007,3,11003,5,3,1,310000
6,952,1,8854,6,2,1,121000
7,1422,2,8500,5,3,1,179600
6,913,1,8400,5,3,1,129000
5,1188,1,26142,7,3,1,157900
8,2090,2,10000,5,3,1,240000
4,1346,1,11767,7,2,1,112000
5,630,0,1533,7,1,1,92000
5,1792,0,9000,5,4,2,136000
8,1578,3,9262,5,3,1,287090
5,1072,2,3675,5,2,1,145000
5,1140,0,17217,5,3,1,84500
7,1221,2,7500,5,2,1,185000
6,1647,2,7917,5,3,1,175000
6,2073,2,13175,6,3,1,210000
7,2340,1,9042,9,4,1,266500
5,1078,1,9717,6,2,1,142125
5,1256,1,9937,6,3,1,147500
